"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"CRY1",60,73,53,95,76,77
"CRY2",180,150,173,238,204,230
"CRYAB",144,83,124,19,29,13
"CRYGS",0,0,4,1,3,7
"CRYL1",381,274,219,215,229,129
"CRYZ",160,170,134,279,212,185
"CRYZL1",76,77,79,92,70,52
"CS",702,670,671,633,579,410
"CSAD",1051,1120,1398,2795,4451,3226
"CSDA",701,455,563,408,500,516
"CSDC2",3,0,2,1,0,1
"CSDE1",1099,1089,947,1170,1020,824
"CSE1L",533,540,571,588,544,415
"CSF1",384,276,306,152,248,191
"CSF1R",3275,2695,2589,1402,833,604
"CSF2RB",711,505,377,88,75,53
"CSF3R",133,97,76,18,9,13
"CSGALNACT1",67,57,80,54,48,28
"CSGALNACT2",43,37,30,33,31,25
"CSK",588,505,556,650,573,397
"CSMD1",113,49,156,58,14,17
"CSNK1A1",440,487,418,465,416,293
"CSNK1D",1215,1086,1360,1456,1155,712
"CSNK1E",142,147,148,80,109,71
"CSNK1G1",19,36,28,28,19,12
"CSNK1G2",626,610,682,723,765,537
"CSNK1G3",339,291,295,421,365,300
"CSNK2A1",366,415,389,582,430,351
"CSNK2A2",295,260,296,361,300,241
"CSNK2B",744,816,724,851,834,644
"CSPG4",22,8,19,11,9,6
"CSPG5",5,2,5,3,6,1
"CSPP1",180,139,160,244,231,178
"CSRNP1",347,266,206,110,130,102
"CSRNP2",41,34,38,37,39,41
"CSRP1",1883,1986,1781,1053,2042,659
"CSRP2",108,92,91,88,104,76
"CSRP2BP",140,158,160,194,183,121
"CST3",1603,1140,1459,884,1132,572
"CST6",5,0,0,1,1,1
"CST7",25,21,29,5,1,5
"CSTA",3,9,0,0,0,0
"CSTB",552,508,383,253,260,190
"CSTF1",246,242,246,346,335,226
"CSTF2T",408,400,420,556,476,460
"CSTF3",102,78,101,88,51,41
"CTBP1",828,744,761,916,879,625
"CTBP2",116,87,125,51,77,28
"CTBS",834,947,792,1127,1194,905
"CTC1",271,274,272,259,298,147
"CTCF",481,410,447,576,493,409
"CTDNEP1",337,238,321,326,272,206
"CTDP1",280,218,286,301,213,164
"CTDSP1",1447,1395,1483,2199,2279,1578
"CTDSPL",299,333,402,169,212,155
"CTDSPL2",71,81,66,50,32,32
"CTF1",58,45,53,83,84,69
"CTGF",1593,801,1332,46,234,43
"CTH",7464,10016,5837,14172,9672,6860
"CTHRC1",77,9,12,0,1,0
"CTIF",159,151,131,146,129,103
"CTLA2A",295,235,279,85,65,38
"CTNNA1",1505,1337,1269,1190,1257,833
"CTNNA2",18,14,20,3,3,2
"CTNNAL1",226,259,277,345,300,314
"CTNNB1",1810,1703,1730,1811,1635,1158
"CTNNBIP1",96,83,83,82,96,47
"CTNNBL1",227,164,209,233,174,170
"CTNND1",2212,2078,2061,2293,2008,1550
"CTNS",76,56,81,91,86,60
"CTPS",265,272,324,128,95,146
"CTPS2",254,303,265,287,282,159
"CTR9",973,902,1108,955,828,657
"CTRC",5,4,6,2,2,0
"CTSA",4068,3834,3823,4584,3964,2849
"CTSB",9230,9012,8656,7106,6068,5158
"CTSC",5213,5215,4763,6869,7627,5531
"CTSD",5296,4493,4896,3094,2927,1945
"CTSE",67,28,58,23,18,11
"CTSF",554,528,541,841,738,546
"CTSH",3938,3202,3007,3796,4830,3001
"CTSK",69,44,67,41,31,23
"CTSL1",9015,8516,7141,9547,6521,6198
"CTSS",2616,1935,1989,708,431,304
"CTSW",57,34,46,6,6,2
"CTTN",903,749,873,766,696,456
"CTTNBP2",58,42,53,63,70,42
"CTTNBP2NL",600,478,534,185,148,100
"CTU1",98,98,84,105,97,72
"CTU2",67,61,84,65,70,61
"CTXN1",2,5,0,1,0,0
"CUBN",5,0,2,5,1,1
"CUEDC1",28,25,37,18,21,12
"CUEDC2",97,94,107,67,96,58
"CUL1",882,894,944,1062,815,722
"CUL2",400,458,482,584,480,396
"CUL3",719,655,702,1008,1022,589
"CUL4A",1386,1565,1575,2469,2386,1839
"CUL4B",433,370,420,434,387,331
"CUL5",110,143,135,169,106,90
"CUL9",282,242,287,320,302,198
"CUTA",191,223,189,294,278,218
"CUTC",103,90,112,183,153,110
"CWC15",288,317,325,306,295,232
"CWC25",133,159,128,158,150,98
"CWC27",88,103,88,72,61,51
"CWF19L1",136,125,114,139,93,96
"CWF19L2",136,150,152,241,186,161
"CX3CL1",76,29,46,20,27,9
"CX3CR1",43,15,44,7,6,3
"CXADR",323,371,344,294,241,181
"CXCL1",322,301,94,8,3,127
"CXCL10",500,335,388,35,63,24
"CXCL11",244,204,219,150,172,164
"CXCL12",1215,1870,1394,6694,7537,4399
"CXCL13",4,3,0,13,15,17
"CXCL14",28,48,29,43,36,18
"CXCL16",538,260,393,84,67,44
"CXCL2",4,3,6,0,0,0
"CXCL9",1190,829,1010,79,80,36
"CXCR2",7,4,5,3,2,2
"CXCR3",30,26,29,6,5,3
"CXCR4",128,89,103,27,27,41
"CXCR5",8,10,9,13,11,7
"CXCR6",11,1,14,3,2,0
"CXCR7",208,303,153,32,72,24
"CXXC1",360,276,319,397,329,270
"CXXC4",3,3,6,10,11,16
"CXXC5",226,191,246,391,335,347
"CYB561",103,88,97,81,81,42
"CYB561D1",44,33,39,26,24,24
"CYB561D2",92,65,84,69,69,57
"CYB5A",4135,4507,4699,8747,7096,5187
"CYB5B",618,634,831,1175,1043,1174
"CYB5D1",16,6,15,17,25,17
"CYB5D2",26,20,19,21,29,31
"CYB5R1",80,70,63,88,80,64
"CYB5R3",949,1064,1227,2780,2901,2196
"CYB5R4",390,367,380,385,348,242
"CYBA",271,213,175,72,58,38
"CYBASC3",233,138,159,180,224,118
"CYBB",1228,896,1022,261,139,101
"CYBRD1",76,66,51,46,92,37
"CYC1",1074,1170,961,1004,1027,945
"CYCS",216,162,147,123,113,103
"CYFIP1",1182,1048,1111,1065,976,715
"CYFIP2",344,268,329,71,255,115
"CYGB",382,182,247,108,143,74
"CYHR1",19,12,10,47,41,46
"CYLD",82,98,95,83,52,46
"CYP17A1",48,45,63,82,160,102
"CYP1A1",57,50,82,30,7,52
"CYP1A2",1231,1782,1750,12255,5900,6372
"CYP1B1",59,5,19,0,7,0
"CYP20A1",247,240,208,173,159,120
"CYP21A1",10,5,5,1,3,10
"CYP26A1",258,221,556,23,23,23
"CYP26B1",129,75,151,19,26,27
"CYP27A1",2080,2713,2761,4060,2905,3430
"CYP2A1",2468,3328,3390,5967,3388,4032
"CYP2A2",3563,4752,4275,15181,10240,8353
"CYP2B1",17,42,48,218,90,35
"CYP2B2",103,181,178,702,1469,518
"CYP2B3",6459,6542,6530,10366,14500,10212
"CYP2C11",3560,7710,1913,35008,43801,22738
"CYP2C12",6465,5311,7931,2584,3662,3371
"CYP2C13",17070,11244,10607,22162,34919,20558
"CYP2C22",43058,33714,31814,12404,17180,8913
"CYP2C23",5807,8545,8371,20434,14721,12688
"CYP2C6V1",14834,10864,13417,25848,15276,13902
"CYP2C7",8802,10418,16837,17644,4938,14160
"CYP2D1",1914,1878,1806,6023,5534,4048
"CYP2D2",6635,6443,6363,18245,16392,11639
"CYP2D3",2042,2504,2514,6827,5440,3983
"CYP2D4",124,130,168,387,412,278
"CYP2D5",2183,1783,1755,5849,5467,4192
"CYP2E1",5442,5861,8151,46896,27002,22423
"CYP2F4",192,268,234,487,569,394
"CYP2J10",44,40,37,34,34,14
"CYP2J3",994,1075,937,1075,968,1475
"CYP2J4",322,510,402,933,677,823
"CYP2R1",22,28,35,58,44,39
"CYP2S1",17,13,20,9,29,4
"CYP2T1",184,217,194,429,551,442
"CYP2U1",40,32,23,49,53,23
"CYP39A1",1592,1739,1754,2537,2366,1891
"CYP3A18",5241,4144,3667,5589,8061,4546
"CYP3A2",13250,24125,17806,76016,50753,20902
"CYP3A23/3A1",4643,3310,6809,7325,5310,4560
"CYP3A9",53,60,95,1200,151,172
"CYP46A1",6,3,4,4,4,4
"CYP4A1",1660,1208,1823,2120,1289,1087
"CYP4A2",12672,10263,2829,3012,2590,4994
"CYP4A3",1462,1012,608,981,550,665
"CYP4A8",23,25,144,159,86,71
"CYP4B1",46,50,40,169,146,131
"CYP4F1",5466,6245,4693,12505,13325,8678
"CYP4F17",115,134,146,118,119,79
"CYP4F18",15,13,9,1,1,1
"CYP4F4",764,883,1029,2690,2497,2293
"CYP4F5",95,20,79,20,20,8
"CYP4F6",682,703,629,732,1074,735
"CYP4V3",2626,2594,2618,3485,3591,3255
"CYP51",750,1276,2062,4856,4846,4013
"CYP7A1",1605,2316,3185,4212,3136,2019
"CYP7B1",162,119,138,95,74,32
"CYP8B1",47,1081,389,5776,3267,2329
"CYR61",413,154,187,72,312,132
"CYS1",12,8,9,7,8,5
"CYSLTR1",4,10,15,2,1,3
"CYTH1",70,90,58,51,55,38
"CYTH2",252,226,249,253,284,177
"CYTH3",121,107,106,93,111,47
"CYTH4",303,239,257,125,111,66
"CYTIP",112,72,84,45,40,13
"CYTL1",9,1,2,2,4,1
"CYYR1",165,217,158,202,189,112
"D2HGDH",200,212,157,382,291,278
"DAAM1",674,741,647,884,778,736
"DAB1",11,12,5,21,13,16
"DAB2",519,310,381,211,321,114
"DAB2IP",501,615,587,786,842,563
"DACT2",36,24,26,43,38,26
"DACT3",27,10,23,6,13,9
"DAD1",694,699,668,681,795,557
"DAGLA",32,23,25,25,37,14
"DAGLB",187,192,189,254,192,152
"DAK",2573,3109,3399,2399,3233,2716
"DALRD3",136,151,102,206,159,144
"DAO",585,625,519,1045,974,804
"DAP",2338,2393,2430,2524,2308,1844
"DAP3",313,308,338,301,293,254
"DAPK1",743,850,999,571,266,368
"DAPK2",84,89,82,104,99,57
"DAPK3",380,342,307,331,351,257
"DAPP1",127,109,121,64,60,35
"DARS",481,532,515,502,406,357
"DARS2",171,180,169,261,240,163
"DAXX",311,254,242,249,224,162
"DAZAP1",323,402,383,352,413,316
"DAZAP2",1494,1385,1411,1806,1632,1260
"DBC1",6,6,14,0,1,0
"DBF4",83,75,95,30,21,14
"DBI",2708,3053,3224,3905,4240,3162
"DBIL5",5,4,2,5,5,4
"DBN1",109,69,92,38,59,23
"DBNDD2",71,83,83,59,69,35
"DBNL",702,606,653,358,367,205
"DBP",408,425,264,390,1608,1276
"DBR1",118,123,134,124,122,89
"DBT",956,999,874,916,855,756
"DCAF10",269,298,315,398,329,317
"DCAF11",2561,2847,2746,5862,4867,3517
"DCAF12L1",3,2,3,1,0,0
"DCAF13",432,587,501,400,360,302
"DCAF15",127,87,118,88,98,53
"DCAF17",33,46,41,52,46,25
"DCAF4",76,74,86,94,82,84
"DCAF5",434,424,422,814,907,463
"DCAF7",507,356,421,651,592,400
"DCAF8",730,761,812,1291,1123,925
"DCAKD",284,217,204,139,157,88
"DCBLD2",87,76,61,10,20,11
"DCDC2",54,30,37,15,25,13
"DCHS1",123,116,154,157,182,66
"DCK",51,40,48,28,22,10
"DCLK1",86,39,61,15,24,23
"DCLK2",37,30,29,20,31,12
"DCLK3",0,0,3,3,5,8
"DCLRE1A",218,256,188,264,236,218
"DCLRE1B",125,89,136,83,85,66
"DCLRE1C",102,86,89,52,48,45
"DCN",455,214,253,75,95,76
"DCP1A",72,76,79,71,51,38
"DCP2",19,39,18,38,21,17
"DCPS",104,94,113,98,96,85
"DCTD",44,28,36,4,11,7
"DCTN1",638,600,590,608,620,408
"DCTN2",1252,1251,1259,1581,1485,1081
"DCTN3",167,165,187,183,171,142
"DCTN4",223,197,167,163,152,119
"DCTN5",213,192,223,252,213,193
"DCTN6",120,145,114,136,103,81
"DCTPP1",45,52,58,42,38,17
"DCUN1D1",99,118,126,161,114,111
"DCUN1D2",44,27,39,67,49,44
"DCUN1D3",27,18,14,24,14,6
"DCUN1D4",264,245,268,604,395,348
"DCUN1D5",250,254,273,272,246,196
"DCX",0,0,0,3,10,2
"DD25",310,314,262,248,268,132
"DDA1",201,180,157,179,163,139
"DDAH1",1280,1148,1016,1478,1162,550
"DDAH2",59,34,29,18,11,14
"DDC",458,787,501,1350,1460,883
"DDHD1",122,148,129,246,255,203
"DDI2",1561,1620,1474,1934,2046,1344
"DDIT3",85,100,79,91,102,67
"DDIT4",302,208,246,78,86,52
"DDIT4L",4,0,3,0,2,0
"DDO",21,33,34,59,39,43
"DDOST",1428,1456,1439,1323,1294,1034
"DDR1",100,39,64,17,38,15
"DDR2",56,40,59,10,16,9
"DDRGK1",603,603,624,1099,994,825
"DDT",1953,2389,2174,3959,3246,2663
"DDX1",667,697,773,656,545,431
"DDX10",163,142,156,222,158,130
"DDX17",637,546,597,1149,952,833
"DDX18",237,220,224,286,189,178
"DDX19A",164,108,125,190,151,126
"DDX19B",344,347,379,444,391,455
"DDX20",178,151,176,147,139,121
"DDX21",402,461,433,363,228,299
"DDX23",756,701,723,938,798,636
"DDX24",589,597,599,617,495,410
"DDX25",10,0,2,3,6,2
"DDX27",265,244,261,288,200,189
"DDX28",80,100,98,115,103,83
"DDX31",81,66,83,80,56,41
"DDX39A",248,234,224,118,114,94
"DDX39B",1416,1330,1275,1020,1034,875
"DDX3X",3487,3477,3193,3794,2814,2739
"DDX41",325,292,304,308,292,221
"DDX42",633,604,642,621,579,456
"DDX46",733,717,711,874,798,587
"DDX47",401,379,389,496,409,328
"DDX49",260,241,237,232,218,193
"DDX5",5193,5697,5207,5580,4539,4232
"DDX50",371,367,337,367,323,274
"DDX51",105,81,81,89,92,81
"DDX52",148,180,135,153,189,112
"DDX54",441,391,429,409,365,280
"DDX56",238,253,267,298,243,213
"DDX58",695,806,632,1032,1101,565
"DDX59",55,59,71,37,43,40
"DDX6",89,79,71,108,79,57
"DEADC1",25,42,36,57,55,13
"DEAF1",110,89,98,151,169,131
"DEAR",7,12,4,12,13,2
"DECR1",943,1062,974,2205,1456,949
"DECR2",623,783,612,1186,968,721
"DEDD",198,202,222,245,309,137
"DEF6",43,28,18,10,4,3
"DEF8",376,460,439,677,745,436
"DEGS1",657,619,605,568,528,452
"DEGS2",7,2,3,3,4,1
"DEK",747,686,852,781,642,523
"DEM1",116,108,110,92,75,66
"DENND1A",273,237,265,276,260,177
"DENND2C",78,57,76,59,27,22
"DENND2D",109,91,65,23,42,12
"DENND5A",989,865,984,912,880,536
"DEPDC1B",26,21,23,4,4,3
"DEPDC5",271,250,343,362,304,285
"DEPDC7",670,821,759,1482,1201,1095
"DERL1",1197,1275,1248,1687,1654,1361
"DERL3",15,21,36,35,28,34
"DES",391,234,254,49,55,40
"DET1",44,50,58,59,65,49
"DEXI",283,273,195,334,281,222
"DFFA",186,157,170,173,166,138
"DFFB",28,35,32,46,40,42
"DFNA5",11,7,18,11,8,14
"DFNB31",68,45,44,60,52,47
"DGAT1",325,308,284,388,335,265
"DGAT2",2350,2837,2744,5389,4859,5116
"DGCR14",82,88,100,106,95,66
"DGCR2",174,173,193,256,284,200
"DGCR6",160,186,151,280,253,190
"DGCR8",220,191,214,257,166,169
"DGKA",341,297,326,429,318,309
"DGKB",5,2,6,3,5,1
"DGKG",20,13,13,11,6,2
"DGKZ",1181,1125,1299,1415,1380,1064
"DGUOK",69,107,67,124,110,124
"DHCR24",2878,3873,5308,3689,3403,4683
"DHCR7",524,818,1214,1942,1459,1221
"DHDDS",550,494,452,364,449,339
"DHFR",444,517,307,391,365,290
"DHH",5,5,7,2,3,1
"DHODH",85,96,117,76,89,82
"DHPS",142,127,128,157,153,112
"DHRS1",292,304,250,566,565,363
"DHRS11",130,85,91,124,133,76
"DHRS3",888,998,1034,1499,1556,1097
"DHRS4",640,706,630,1161,977,800
"DHRS7",373,815,191,2090,2036,879
"DHRS7B",224,224,204,173,179,150
"DHRS9",25,6,20,1,0,1
"DHRSX",83,99,86,85,84,78
"DHTKD1",1891,2656,2023,6616,6340,4640
"DHX15",969,882,927,1009,786,637
"DHX16",254,255,244,346,410,326
"DHX30",373,394,408,482,344,395
"DHX32",212,253,217,230,208,146
"DHX33",209,288,199,258,206,209
"DHX35",91,74,96,65,69,99
"DHX36",401,458,432,536,419,405
"DHX37",156,146,159,180,200,108
"DHX38",387,341,355,356,328,271
"DHX40",241,245,255,337,333,195
"DHX57",135,124,107,109,110,102
"DHX58",192,173,157,147,143,74
"DHX8",198,228,198,240,200,158
"DHX9",840,799,835,774,622,532
"DIABLO",94,76,83,105,112,100
"DIEXF",128,113,123,130,79,100
"DIMT1",30,44,46,39,33,35
"DIO1",964,1580,890,2009,3055,2023
"DIO3",57,81,42,6,3,5
"DIP2A",197,165,208,185,176,125
"DIP2C",125,151,123,260,178,141
"DIRC2",241,220,284,335,252,313
"DIS3",109,159,171,158,106,90
"DIS3L",267,316,305,354,376,273
"DIS3L2",218,204,208,229,241,159
"DISC1",9,3,3,6,5,2
"DISP1",142,71,108,126,85,57
"DISP2",9,8,6,0,1,2
"DIXDC1",217,279,266,233,298,337
"DKK2",37,24,7,48,3,12
"DKK3",115,67,106,27,28,16
"DKK4",62,39,36,41,37,38
"DLAT",268,291,313,249,198,214
"DLC1",496,416,432,541,490,481
"DLD",1691,1732,1446,1948,1627,1475
"DLG1",237,243,249,341,270,204
"DLG3",71,76,77,97,96,86
"DLG4",59,44,47,28,28,15
"DLGAP1",3,5,3,0,3,0
"DLGAP4",153,121,148,128,122,81
"DLGAP5",156,123,149,24,35,16
"DLL1",77,83,55,46,55,59
"DLL4",97,64,68,116,133,63
"DLST",1897,2098,2075,2142,1896,1952
"DLX1",3,1,1,0,1,1
"DMAP1",115,162,142,168,157,81
"DMBT1",3025,601,1749,182,199,160
"DMD",188,237,224,245,232,187
"DMGDH",1807,2010,1945,4283,4342,3507
"DMRTA2",6,8,11,11,9,2
"DMRTC2",2,3,3,2,0,0
"DMTF1",103,103,109,154,119,69
"DNAAF1",1,3,0,2,0,1
"DNAAF2",89,70,87,116,89,58
"DNAH1",12,17,17,21,18,9
"DNAJA1",2286,2625,2025,3325,3321,2638
"DNAJA2",846,862,880,908,770,742
"DNAJA3",892,927,956,1255,990,968
"DNAJA4",173,95,120,128,112,99
"DNAJB1",447,450,304,496,586,369
"DNAJB11",1002,985,997,989,899,858
"DNAJB12",11,17,11,18,18,13
"DNAJB13",8,5,3,3,2,0
"DNAJB14",37,38,36,49,34,31
"DNAJB2",367,346,310,632,490,343
"DNAJB3",6,3,3,1,1,3
"DNAJB4",205,196,106,137,167,94
"DNAJB5",227,201,186,165,166,175
"DNAJB6",322,319,331,357,306,258
"DNAJB7",1,0,1,6,5,6
"DNAJB9",693,653,654,1151,783,873
"DNAJC10",721,672,706,710,674,466
"DNAJC11",424,406,391,437,373,323
"DNAJC12",96,127,131,181,253,158
"DNAJC14",282,206,257,293,261,180
"DNAJC15",201,183,180,172,167,148
"DNAJC16",178,155,144,147,136,108
"DNAJC17",39,40,36,44,52,37
"DNAJC18",65,43,57,31,46,47
"DNAJC2",230,203,203,248,172,177
"DNAJC21",137,131,110,198,140,170
"DNAJC22",492,500,551,1020,1078,785
"DNAJC24",22,34,28,57,41,17
"DNAJC25",190,166,163,196,182,140
"DNAJC27",55,46,58,35,32,12
"DNAJC28",27,20,32,89,115,47
"DNAJC3",1584,1934,1888,2578,2633,2307
"DNAJC30",48,40,38,74,54,56
"DNAJC4",43,61,54,107,96,55
"DNAJC5",167,139,128,149,129,98
"DNAJC6",4,2,1,0,1,1
"DNAJC7",488,429,458,554,398,346
"DNAJC8",355,330,319,322,272,211
"DNAJC9",259,189,246,199,163,97
"DNAL1",3,3,1,12,2,2
"DNAL4",57,60,48,62,63,44
"DNASE1",2,4,1,2,0,0
"DNASE1L1",195,166,162,135,182,111
"DNASE1L3",446,488,255,711,793,408
"DNASE2A",309,215,297,163,130,76
"DNASE2B",36,46,18,17,25,26
"DNLZ",82,80,97,105,114,94
"DNM1",29,21,12,14,27,17
"DNM1L",263,289,310,223,169,175
"DNM2",799,808,787,840,768,590
"DNM3",7,0,3,0,1,1
"DNMT1",402,346,451,237,235,184
"DNMT3A",217,210,222,167,185,113
"DNMT3B",41,52,51,116,91,85
"DNPEP",749,795,709,798,730,562
"DNTT",3,3,2,1,0,0
"DNTTIP1",219,185,177,214,197,140
"DOC2A",18,13,6,0,0,1
"DOC2B",8,1,1,2,5,3
"DOC2G",2,5,10,7,7,9
"DOCK1",405,396,427,403,383,268
"DOCK11",221,244,256,183,124,124
"DOCK6",231,219,251,164,225,140
"DOCK7",335,295,319,293,283,209
"DOCK8",894,838,789,790,724,495
"DOCK9",205,193,168,281,241,186
"DOHH",328,276,326,280,288,257
"DOK1",58,34,44,23,15,11
"DOK2",76,71,63,32,36,23
"DOK3",74,63,43,21,18,11
"DOK4",21,16,21,17,14,6
"DOLK",250,250,260,352,388,320
"DOLPP1",87,98,122,227,147,138
"DOM3Z",86,100,97,137,108,97
"DONSON",68,56,53,23,24,15
"DOPEY2",232,180,246,183,146,115
"DOS",36,18,14,8,12,7
"DOT1L",404,389,434,391,352,272
"DPAGT1",501,491,435,523,540,360
"DPCD",77,77,83,54,67,46
"DPEP1",102,45,70,25,37,27
"DPEP2",27,26,15,12,7,3
"DPF1",9,5,9,1,0,1
"DPF2",494,426,493,484,478,280
"DPF3",20,22,17,17,19,17
"DPH1",70,68,84,62,67,60
"DPH2",54,51,52,58,55,54
"DPH3",186,155,194,165,149,129
"DPH5",72,79,94,134,75,90
"DPM1",315,342,303,579,494,365
"DPM3",6,13,12,11,15,9
"DPP3",588,636,606,866,783,633
"DPP4",1544,1584,1429,2509,2329,1753
"DPP6",13,16,4,12,30,2
"DPP7",471,384,401,148,181,75
"DPP8",872,824,918,908,893,659
"DPT",1582,2033,1887,3822,2994,3939
"DPY19L1",676,538,639,514,498,448
"DPY19L3",692,682,717,1090,1288,880
"DPY30",113,130,120,165,153,112
"DPYD",1104,1236,1181,2703,2416,1932
"DPYS",1695,2187,1655,5200,4263,3494
"DPYSL2",529,377,518,205,157,124
"DPYSL3",80,55,60,33,57,14
"DPYSL5",39,17,18,12,24,9
"DQX1",79,56,89,76,68,43
"DR1",391,409,405,478,414,366
"DRAM",358,247,304,44,23,25
"DRAM2",546,637,582,987,786,561
"DRAP1",317,287,294,350,388,248
"DRG1",224,255,237,309,210,211
"DSC2",1018,998,1122,920,850,1140
"DSCAML1",3,3,3,0,1,0
"DSCR3",197,148,162,206,177,123
"DSCR6",4,2,1,2,5,1
"DSE",468,406,463,263,270,128
"DSG3",14,6,14,2,0,0
"DSN1",54,42,67,20,20,8
"DSTN",1036,969,980,920,938,710
"DSTYK",113,96,114,115,121,86
"DTD1",55,54,47,46,53,48
"DTNB",269,247,231,211,208,180
"DTWD1",28,23,32,29,30,37
"DTWD2",27,17,29,52,39,44
"DTX2",62,40,60,85,75,44
"DTX3",87,82,81,48,92,52
"DTX3L",1031,951,953,787,825,622
"DTX4",44,30,30,42,46,14
"DTYMK",196,206,203,154,135,95
"DUOX1",10,26,11,22,13,10
"DUOX2",5,1,2,4,1,1
"DUOXA1",8,16,11,19,14,15
"DUS2L",103,93,91,109,82,70
"DUS3L",148,131,131,188,145,140
"DUS4L",24,29,17,19,18,20
"DUSP1",1090,696,812,412,1052,216
"DUSP10",113,128,79,19,22,31
"DUSP11",266,226,220,285,210,221
"DUSP12",51,41,45,50,34,34
"DUSP13",5,0,5,9,7,4
"DUSP16",371,486,308,152,190,86
"DUSP18",20,22,14,11,7,3
"DUSP19",28,29,35,67,54,40
"DUSP2",38,32,41,9,1,3
"DUSP22",104,112,121,93,86,80
"DUSP23",21,22,18,46,54,28
"DUSP3",1288,1470,995,648,849,578
"DUSP4",8,8,4,3,2,4
"DUSP5",97,71,64,72,53,75
"DUSP6",1040,892,520,222,368,337
"DUSP8",88,105,79,13,30,6
"DUT",166,164,201,110,113,98
"DVL1",794,747,841,1603,1413,1091
"DVL2",89,94,82,91,125,62
"DVL3",164,170,166,213,232,141
"DYM",245,262,198,275,234,239
"DYNC1H1",2393,2005,2223,2016,1722,1262
"DYNC1I2",502,472,538,530,477,325
"DYNC1LI1",189,159,164,138,122,86
"DYNC1LI2",638,543,571,670,619,447
"DYNC2H1",80,67,74,79,61,33
"DYNC2LI1",12,11,12,8,4,2
"DYNLL1",275,210,296,249,287,189
"DYNLL2",1420,1325,1367,2256,2158,1402
"DYNLRB1",331,383,379,365,364,254
"DYNLT1",145,104,106,34,32,24
"DYNLT3",318,327,387,451,481,212
"DYRK1A",384,340,412,322,424,254
"DYRK1B",88,77,108,111,158,98
"DYRK2",234,288,307,337,401,218
"DYRK3",7,9,6,0,2,0
"DYSF",229,212,235,150,206,79
"DYT1",292,296,241,425,371,372
"DYX1C1",1,0,1,3,2,0
"DZIP1L",39,23,32,9,8,7
"E2F1",75,59,99,17,24,12
"E2F3",80,73,59,75,74,44
"E2F6",242,201,228,298,254,219
"E2F7",17,10,19,4,6,2
"E4F1",123,77,91,136,121,89
"EAF1",402,358,379,395,367,327
"EAPP",177,204,219,276,244,215
"EARS2",62,70,63,105,71,63
"EBAG9",208,200,232,309,310,277
"EBF1",4,5,3,1,4,0
"EBF3",8,5,7,4,2,1
"EBF4",6,9,4,3,2,2
"EBI3",24,12,21,4,2,2
"EBNA1BP2",302,298,324,222,173,192
"EBP",481,669,725,1925,1395,1312
"EBPL",318,447,413,418,466,270
"ECE1",1654,1685,1677,1395,1474,1063
"ECE2",8,2,2,1,1,0
"ECH1",1020,990,948,1358,1142,841
"ECHDC1",125,123,200,269,338,201
"ECHDC2",500,577,467,977,902,734
"ECHS1",2489,3080,2575,5166,4549,3796
"ECI1",778,693,677,947,561,439
"ECI2",1238,1335,1482,1774,1489,1363
"ECI3",3085,3404,3572,4491,4283,3661
"ECM1",393,418,377,2273,2354,1207
"ECSIT",356,415,379,616,566,466
"EDAR",5,10,8,87,91,67
"EDC4",358,321,367,396,321,270
"EDEM2",605,542,555,576,558,473
"EDEM3",284,345,340,548,392,389
"EDF1",574,560,558,709,709,516
"EDN1",26,12,15,2,6,2
"EDNRA",297,126,146,38,314,117
"EDNRB",303,261,301,82,86,51
"EEA1",370,404,436,593,412,376
"EED",236,194,249,168,165,129
"EEF1A1",8645,8223,8186,10556,9393,6183
"EEF1A2",2,4,3,3,3,3
"EEF1B2",1531,1501,1458,1270,1162,1082
"EEF1D",586,628,625,547,471,448
"EEF1E1",162,126,149,159,133,103
"EEF1G",2427,2182,2244,1860,1637,1299
"EEF2",18156,18024,17015,20039,18512,15558
"EEF2K",197,208,198,270,212,161
"EEFSEC",139,124,151,166,126,102
"EEPD1",129,134,120,164,177,107
"EFCAB1",2,3,4,5,1,1
"EFCAB11",2,5,3,1,1,0
"EFCAB2",7,2,5,2,6,4
"EFCAB3",2,0,2,2,1,0
"EFCAB4A",45,61,44,64,67,35
"EFCAB7",33,22,32,32,11,26
"EFEMP1",46,3,9,8,13,17
"EFEMP2",126,87,121,38,42,24
"EFHA1",571,744,648,465,706,455
"EFHA2",31,18,25,32,32,33
"EFHC1",11,8,9,4,9,3
"EFHC2",3,5,6,0,4,4
"EFHD1",19,11,13,17,17,13
"EFHD2",727,571,644,423,414,316
"EFNA1",847,866,498,581,466,690
"EFNA2",0,1,3,2,1,2
"EFNA4",20,8,9,23,28,21
"EFNA5",89,82,64,128,74,79
"EFNB1",98,100,135,97,120,103
"EFNB2",28,23,14,53,37,18
"EFR3A",765,753,752,829,752,556
"EFS",24,5,10,7,5,2
"EFTUD1",167,199,178,189,174,150
"EGF",87,141,152,436,330,249
"EGFL6",4,0,1,6,4,3
"EGFL7",251,230,284,136,199,112
"EGFL8",22,8,24,14,16,19
"EGFLAM",11,5,5,1,3,6
"EGFR",1140,1905,1569,2528,2791,1804
"EGLN2",567,556,554,932,937,694
"EGLN3",156,48,113,6,3,9
"EGR1",436,189,329,41,101,102
"EGR2",35,14,13,3,3,1
"EGR3",4,3,4,1,1,1
