"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"MAMDC4",9,5,4,8,7,8
"MAML1",292,184,227,227,294,209
"MAN1A1",2130,2204,1911,2913,2726,2485
"MAN1A2",600,667,696,928,970,687
"MAN1C1",181,136,159,106,110,66
"MAN2A1",2588,2693,2884,3141,2858,2474
"MAN2A2",165,142,168,184,180,144
"MAN2B1",2228,2325,2115,2582,2869,2297
"MAN2B2",598,520,507,373,384,327
"MAN2C1",495,539,495,621,607,387
"MANBA",469,426,426,325,347,264
"MANBAL",226,233,210,206,240,168
"MANEA",87,107,99,127,102,65
"MANF",513,500,506,616,552,454
"MANSC1",23,14,21,17,18,9
"MAOA",771,788,819,958,944,774
"MAOB",1355,1636,1376,2724,2624,1869
"MAP1A",24,22,19,3,2,7
"MAP1B",117,57,88,8,29,6
"MAP1LC3A",373,324,291,267,264,174
"MAP1LC3B",1374,1453,1412,1321,1205,1388
"MAP1S",105,93,74,51,40,28
"MAP2",0,3,5,4,5,1
"MAP2K1",584,481,543,533,422,315
"MAP2K1IP1",167,160,144,132,110,110
"MAP2K2",801,841,857,1201,1107,865
"MAP2K3",452,435,420,529,450,448
"MAP2K4",157,154,148,176,133,130
"MAP2K5",138,101,120,158,132,93
"MAP2K6",12,23,26,17,63,14
"MAP2K7",122,100,81,140,97,100
"MAP3K1",270,287,255,235,244,156
"MAP3K10",51,43,49,80,53,53
"MAP3K11",480,390,451,518,541,328
"MAP3K12",149,141,138,115,119,121
"MAP3K13",61,63,80,107,88,54
"MAP3K14",84,60,65,113,160,68
"MAP3K2",38,56,31,52,33,26
"MAP3K3",610,468,563,434,422,331
"MAP3K4",231,337,230,331,322,242
"MAP3K6",120,102,83,6,5,10
"MAP3K7",624,558,594,640,598,519
"MAP3K8",95,72,56,43,30,39
"MAP4",1504,1329,1483,1295,1446,874
"MAP4K1",225,113,140,49,48,36
"MAP4K2",215,194,198,179,196,126
"MAP4K3",414,410,413,511,526,349
"MAP4K4",724,568,657,266,342,138
"MAP4K5",274,296,284,407,385,212
"MAP6",19,21,29,9,5,2
"MAP7",482,508,454,491,534,442
"MAP7D1",909,795,788,925,802,780
"MAP9",27,31,36,44,40,41
"MAPK1",346,363,369,434,402,312
"MAPK10",6,3,0,2,2,2
"MAPK11",16,6,14,5,15,4
"MAPK12",45,50,55,50,40,33
"MAPK13",17,5,14,1,5,3
"MAPK14",1491,1580,1279,1949,2064,1428
"MAPK1IP1",74,73,81,99,95,58
"MAPK1IP1L",202,219,195,274,265,147
"MAPK3",466,432,419,405,436,271
"MAPK6",1300,1579,1434,1324,1232,836
"MAPK7",151,99,114,91,86,57
"MAPK8IP1",133,93,106,196,153,107
"MAPK8IP3",258,221,293,208,189,200
"MAPK9",1218,1138,947,1576,1174,881
"MAPKAP1",422,380,397,484,431,369
"MAPKAPK2",2035,1755,1490,944,1142,502
"MAPKAPK3",126,119,132,92,105,72
"MAPKAPK5",218,242,265,290,287,243
"MAPKBP1",56,44,66,68,73,45
"MAPRE1",671,544,647,437,343,255
"MAPRE3",211,156,178,375,296,240
"MAPT",44,27,33,34,50,20
"1-Mar",1061,1929,2048,3346,2637,3309
"2-Mar",1302,1500,1332,2446,2237,1648
"1-Mar",60,47,59,6,3,3
"2-Mar",817,1020,892,1281,1391,990
"3-Mar",46,40,31,29,39,37
"5-Mar",594,595,617,752,802,574
"7-Mar",357,430,366,305,256,220
"8-Mar",958,925,915,1456,1306,937
"MARCKSL1",309,265,292,210,303,106
