"","Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"Sim0.5Fold29","Sim0.5Fold29","229.5","0.00667422220532968","-5.00950260503133","13.6900881327061","0.5","3.56159180019558"
"Sim0.5Fold30","Sim0.5Fold30","262.833333333333","0.0018163176474645","-6.31094409809438","21.9999423698715","0.5","3.56159180019558"
"Sim0.5Fold31","Sim0.5Fold31","281.166666666667","0.00287036855838108","-5.85331483990105","18.7430979691496","0.5","3.56159180019558"
"Sim0.5Fold32","Sim0.5Fold32","303.166666666667","0.00119991139895604","-6.72550755911736","25.3137216712723","0.5","3.56159180019558"
"Sim0.5Fold33","Sim0.5Fold33","335.833333333333","0.00339612493718681","-5.68512022169656","17.6426860937486","0.5","3.56159180019558"
"Sim0.5Fold34","Sim0.5Fold34","347.5","0.0047989555662505","-5.33935697510899","15.5303992648504","0.5","3.56159180019558"
"Sim0.5Fold35","Sim0.5Fold35","436","0.000732440879705903","-7.21912793062941","29.7671389922665","0.5","3.56159180019558"
"Sim0.5Fold36","Sim0.5Fold36","407.666666666667","0.000238164431353303","-8.34254923480698","42.367621977475","0.5","3.56159180019558"
"Sim0.5Fold37","Sim0.5Fold37","478.333333333333","0.00570223936384279","-5.16689631044556","14.5478617255114","0.5","3.56159180019558"
"Sim0.5Fold38","Sim0.5Fold38","409.333333333333","0.0146978841885608","-4.22005172830772","9.89775086865322","0.5","3.56159180019558"
"Sim0.5Fold39","Sim0.5Fold39","520","0.016489434315161","-4.10503544771943","9.41013825955939","0.5","3.56159180019558"
"Sim0.5Fold40","Sim0.5Fold40","558.833333333333","0.0671543454089997","-2.70076164613343","4.56241227884092","0.5","3.56159180019558"
"Sim0.5Fold41","Sim0.5Fold41","637","0.00182298176309055","-6.3072817871258","21.9722684074534","0.5","3.56159180019558"
"Sim0.5Fold42","Sim0.5Fold42","773","0.000143539500159825","-8.84890029820455","49.3961971638478","0.5","3.56159180019558"
"Sim0.5Fold43","Sim0.5Fold43","870.166666666667","5.74865563149931e-05","-9.76395944071471","64.7554122657546","0.5","3.56159180019558"
"Sim0.5Fold44","Sim0.5Fold44","1174.83333333333","0.0423475780425117","-3.16184404859826","5.94669752779073","0.5","3.56159180019558"
"Sim0.5Fold45","Sim0.5Fold45","1318.16666666667","1.52083027281767e-05","-11.0936690471256","94.8788208614349","0.5","3.56159180019558"
"Sim0.5Fold46","Sim0.5Fold46","1325.16666666667","0.0029765028070395","-5.81700622230408","18.5013417293734","0.5","3.56159180019558"
"Sim0.5Fold47","Sim0.5Fold47","2365.16666666667","0.000228916518411126","-8.38215316929699","42.8839998083397","0.5","3.56159180019558"
"Sim0.5Fold48","Sim0.5Fold48","3424.33333333333","0.0010478776439186","-6.8609884518854","26.4784114117134","0.5","3.56159180019558"
"Sim0.5Fold49","Sim0.5Fold49","6197.66666666667","0.0195216310233208","-3.93623214496526","8.72179856730763","0.5","3.56159180019558"
"Sim4Fold1","Sim4Fold1","0.333333333333333","0.086764880001331","-2.44455334747145","3.87093856378952","4","3.56159180019558"
"Sim4Fold2","Sim4Fold2","1.5","0.187271692343783","-1.67519481633176","2.10211433383007","4","3.56159180019558"
"Sim4Fold3","Sim4Fold3","3","0.0452265129315579","-3.09607179482622","5.73774898066547","4","3.56159180019558"
"Sim4Fold4","Sim4Fold4","4","0.0832600909018554","-2.48578594543287","3.97862828311983","4","3.56159180019558"
"Sim4Fold5","Sim4Fold5","4.66666666666667","0.0891090243838337","-2.41789466586505","3.80203407327705","4","3.56159180019558"
"Sim4Fold6","Sim4Fold6","6.83333333333333","0.582903676641072","-0.539733326451688","0.328993493856472","4","3.56159180019558"
"Sim4Fold7","Sim4Fold7","10.8333333333333","0.0237324609033268","-3.74091150959926","7.9643075530206","4","3.56159180019558"
"Sim4Fold8","Sim4Fold8","13.1666666666667","0.0397028899265257","-3.22633129981932","6.1554142195427","4","3.56159180019558"
"Sim4Fold9","Sim4Fold9","19.3333333333333","0.0112601629315179","-4.48648418643586","11.0879120792036","4","3.56159180019558"
"Sim4Fold10","Sim4Fold10","18.5","0.00122040571274676","-6.70857192408817","25.171060949711","4","3.56159180019558"
"Sim4Fold11","Sim4Fold11","20.5","0.000116265377686694","-9.05963524106933","52.6109122823369","4","3.56159180019558"
"Sim4Fold12","Sim4Fold12","27.3333333333333","0.0278035454263269","-3.58259173309612","7.37973476403045","4","3.56159180019558"
"Sim4Fold13","Sim4Fold13","40.8333333333333","0.000117940749827711","-9.04532817970727","52.3869372184844","4","3.56159180019558"
"Sim4Fold14","Sim4Fold14","41.5","0.00114096538001193","-6.7758805503575","25.7418686034158","4","3.56159180019558"
"Sim4Fold15","Sim4Fold15","46.1666666666667","0.000468691776296549","-7.66556519896179","34.3300485818061","4","3.56159180019558"
"Sim4Fold16","Sim4Fold16","62.3333333333333","0.000719782573545006","-7.23656137274716","29.9353561073686","4","3.56159180019558"
"Sim4Fold17","Sim4Fold17","58.6666666666667","4.49889671266335e-06","-12.311678366212","133.501020706627","4","3.56159180019558"
"Sim4Fold18","Sim4Fold18","84","8.19997206764409e-05","-9.40879471709069","58.3485412704434","4","3.56159180019558"
"Sim4Fold19","Sim4Fold19","89","0.000131297986346788","-8.93804111305045","50.7341516986895","4","3.56159180019558"
"Sim4Fold20","Sim4Fold20","92.6666666666667","5.85631662060567e-05","-9.74540462204645","64.4055741769961","4","3.56159180019558"
"Sim4Fold21","Sim4Fold21","103.333333333333","0.00037771005004002","-7.88138372007453","36.7374494584334","4","3.56159180019558"
"Sim4Fold22","Sim4Fold22","140.5","0.000748300448262377","-7.19770599183714","29.5615005358552","4","3.56159180019558"
"Sim4Fold23","Sim4Fold23","144.333333333333","7.48309662785287e-06","-11.8028638639663","115.843008707785","4","3.56159180019558"
"Sim4Fold24","Sim4Fold24","139.833333333333","2.72160262658652e-05","-10.5117045572221","80.3841114278281","4","3.56159180019558"
"Sim4Fold25","Sim4Fold25","151","0.000109711089526351","-9.11766010621754","53.528035976825","4","3.56159180019558"
"Sim4Fold26","Sim4Fold26","156.833333333333","1.74424030321764e-05","-10.9566063604332","91.2614464998359","4","3.56159180019558"
"Sim4Fold27","Sim4Fold27","195","0.000131103910838626","-8.93952033668131","50.7566216300457","4","3.56159180019558"
"Sim4Fold28","Sim4Fold28","195.5","0.000205369645145213","-8.49069905549411","44.3273883323285","4","3.56159180019558"
"Sim4Fold29","Sim4Fold29","194.833333333333","5.58922875636684e-05","-9.79208415577132","65.2889716561432","4","3.56159180019558"
"Sim4Fold30","Sim4Fold30","214.333333333333","7.02099784243727e-06","-11.8666052072306","117.927072309755","4","3.56159180019558"
