"","Feature","MnCnt","Pval","LogPval","F.stat","Fold","Den.df"
"43","ERCC-00111",635.333333333333,0.0561651078087822,-2.87945957238929,5.08426160681739,0.667,3.53105273449444
"44","ERCC-00112",82.3333333333333,0.0185819333077765,-3.98556549784617,8.93853091542026,0.5,3.53105273449444
"45","ERCC-00113",4638,0.0338421058720629,-3.38604951591843,6.70075387741019,0.667,3.53105273449444
"46","ERCC-00116",89.6666666666667,0.000276125818357142,-8.19465393250854,40.6994579296377,4,3.53105273449444
"47","ERCC-00130",13726.6666666667,3.51308954705506e-05,-10.2564296018164,75.2246997079644,4,3.53105273449444
"48","ERCC-00131",76,4.17930484007967e-05,-10.082780538465,71.5332939523329,4,3.53105273449444
"49","ERCC-00136",476.5,9.67370057464958e-05,-9.24351454260421,55.9085118644921,4,3.53105273449444
"50","ERCC-00143",5.16666666666667,0.639136402196952,-0.447637385417305,0.23857991393785,0.667,3.53105273449444
"51","ERCC-00144",11.3333333333333,0.0215620113855762,-3.83682224482638,8.3479760349087,4,3.53105273449444
"52","ERCC-00145",987.166666666667,0.00460124647969449,-5.38142803834724,15.8254328019315,0.667,3.53105273449444
"53","ERCC-00148",10.5,0.640251904803931,-0.445893578812932,0.236970742577543,1,3.53105273449444
"54","ERCC-00154",3.33333333333333,0.182927726892494,-1.69866413916178,2.15124943069427,4,3.53105273449444
"55","ERCC-00157",15,0.0566722869069128,-2.87046995480784,5.05766211272665,0.667,3.53105273449444
"56","ERCC-00158",1.16666666666667,0.867020295527817,-0.142692893562296,0.0300155529714155,1,3.53105273449444
"57","ERCC-00160",22.3333333333333,0.175944799086987,-1.73758497469099,2.23083318843713,0.5,3.53105273449444
"58","ERCC-00162",72.5,0.0332555754307424,-3.40353284380976,6.76082882408111,0.667,3.53105273449444
"59","ERCC-00163",24.1666666666667,0.00929641527146428,-4.67812640781094,12.0297898790448,0.5,3.53105273449444
"60","ERCC-00165",72.5,0.00946728583404631,-4.65991301961701,11.9407833162747,0.5,3.53105273449444
"61","ERCC-00168",1.5,0.256533044017292,-1.36049779609061,1.50733826704198,0.5,3.53105273449444
"62","ERCC-00170",10.6666666666667,0.0135143785672356,-4.30400108127755,10.2872974711978,4,3.53105273449444
"63","ERCC-00171",3888,0.974468719157824,-0.0258628599259885,0.0010944479062358,1,3.53105273449444
